Date,Barcode,ProductName,Count,Price,Total,GrandTotal
2025-06-13 18:21:31,88013114,팔리아멘트원1mg(갑),3,4500,13500,26200
2025-06-13 18:21:31,88020785,엘에스에스윈드블루한갑,1,4500,4500,26200
2025-06-13 18:21:31,88006604,디스플러스5.5mg(갑),2,4100,8200,26200
